,dataset,method,replicate,cd,acc,times,memgb,n,k,ils,seqlen,gtee,ad,gtype
224,mammalian-sim,optimal,4,2,0,1.14,0.035572,37,50,2X,true,0,0.18617647058823533,true
225,mammalian-sim,optimal,5,2,0,1.13,0.040908,37,50,2X,true,0,0.17897058823529413,true
226,mammalian-sim,optimal,6,0,1,1.09,0.035784,37,50,2X,true,0,0.18838235294117656,true
227,mammalian-sim,optimal,7,0,1,1.06,0.036252,37,50,2X,true,0,0.1832352941176471,true
228,mammalian-sim,optimal,8,0,1,1.06,0.036264,37,50,2X,true,0,0.18132352941176483,true
229,mammalian-sim,optimal,9,0,1,1.03,0.038972,37,50,2X,true,0,0.18779411764705878,true
230,mammalian-sim,optimal,10,0,1,1.01,0.03568,37,50,2X,true,0,0.17941176470588244,true
231,mammalian-sim,optimal,11,4,0,2.03,0.035544,37,50,2X,true,0,0.18382352941176477,true
232,mammalian-sim,optimal,12,0,1,4.26,0.035376,37,50,2X,true,0,0.18044117647058827,true
233,mammalian-sim,optimal,13,0,1,2.61,0.035504,37,50,2X,true,0,0.17617647058823535,true
234,mammalian-sim,optimal,14,2,0,4.27,0.035288,37,50,2X,true,0,0.18000000000000005,true
235,mammalian-sim,optimal,15,2,0,3.87,0.03492,37,50,2X,true,0,0.18117647058823533,true
236,mammalian-sim,optimal,16,4,0,3.87,0.03656,37,50,2X,true,0,0.18455882352941178,true
237,mammalian-sim,optimal,17,0,1,2.59,0.037036,37,50,2X,true,0,0.17897058823529421,true
238,mammalian-sim,optimal,18,0,1,2.53,0.035916,37,50,2X,true,0,0.1779411764705883,true
239,mammalian-sim,optimal,19,2,0,2.63,0.038164,37,50,2X,true,0,0.18911764705882358,true
240,mammalian-sim,QR,0,2,0,9.65,0.08462,37,200,0.5X,true,0,0.5392647058823532,true
241,mammalian-sim,QR,1,2,0,9.57,0.089636,37,200,0.5X,true,0,0.5366176470588236,true
242,mammalian-sim,QR,2,4,0,9.78,0.084612,37,200,0.5X,true,0,0.535588235294118,true
243,mammalian-sim,QR,3,6,0,9.64,0.08468,37,200,0.5X,true,0,0.5325000000000002,true
244,mammalian-sim,QR,4,4,0,9.79,0.084292,37,200,0.5X,true,0,0.5423529411764709,true
245,mammalian-sim,QR,5,0,1,9.76,0.0846,37,200,0.5X,true,0,0.5448529411764708,true
246,mammalian-sim,QR,6,4,0,9.5,0.08474,37,200,0.5X,true,0,0.5405882352941179,true
247,mammalian-sim,QR,7,4,0,9.32,0.084824,37,200,0.5X,true,0,0.5502941176470595,true
248,mammalian-sim,QR,8,2,0,9.64,0.085072,37,200,0.5X,true,0,0.5345588235294119,true
249,mammalian-sim,QR,9,0,1,9.46,0.087148,37,200,0.5X,true,0,0.5444117647058829,true
250,mammalian-sim,QR,10,2,0,9.6,0.085392,37,200,0.5X,true,0,0.5319117647058826,true
251,mammalian-sim,QR,11,0,1,9.76,0.0849,37,200,0.5X,true,0,0.5414705882352945,true
252,mammalian-sim,QR,12,4,0,10.06,0.085356,37,200,0.5X,true,0,0.5358823529411766,true
253,mammalian-sim,QR,13,0,1,9.87,0.085564,37,200,0.5X,true,0,0.5277941176470589,true
254,mammalian-sim,QR,14,2,0,9.76,0.085,37,200,0.5X,true,0,0.5385294117647059,true
255,mammalian-sim,QR,15,2,0,9.59,0.085156,37,200,0.5X,true,0,0.5330882352941178,true
256,mammalian-sim,QR,16,2,0,26.95,0.083704,37,200,0.5X,true,0,0.538529411764706,true
257,mammalian-sim,QR,17,4,0,27.08,0.085612,37,200,0.5X,true,0,0.5464705882352946,true
258,mammalian-sim,QR,18,4,0,26.23,0.087824,37,200,0.5X,true,0,0.5388235294117649,true
259,mammalian-sim,QR,19,6,0,27.98,0.087772,37,200,0.5X,true,0,0.5461764705882357,true
260,mammalian-sim,QR*,0,2,0,8.18,0.086512,37,200,0.5X,true,0,0.5392647058823532,true
261,mammalian-sim,QR*,1,4,0,8.14,0.084784,37,200,0.5X,true,0,0.5366176470588236,true
262,mammalian-sim,QR*,2,4,0,7.55,0.087884,37,200,0.5X,true,0,0.535588235294118,true
263,mammalian-sim,QR*,3,8,0,7.89,0.084696,37,200,0.5X,true,0,0.5325000000000002,true
264,mammalian-sim,QR*,4,6,0,8.18,0.085588,37,200,0.5X,true,0,0.5423529411764709,true
265,mammalian-sim,QR*,5,0,1,7.79,0.087384,37,200,0.5X,true,0,0.5448529411764708,true
266,mammalian-sim,QR*,6,6,0,7.69,0.085088,37,200,0.5X,true,0,0.5405882352941179,true
267,mammalian-sim,QR*,7,6,0,8.25,0.084996,37,200,0.5X,true,0,0.5502941176470595,true
268,mammalian-sim,QR*,8,2,0,7.9,0.085324,37,200,0.5X,true,0,0.5345588235294119,true
269,mammalian-sim,QR*,9,2,0,7.26,0.083584,37,200,0.5X,true,0,0.5444117647058829,true
