,dataset,method,qrcoef,abratio,replicate,cd,acc,times,memgb,n,k,length,gtee,ad,gtype
195,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,45,0,1,80.48,0.220536,101,1000,1600,,,est
196,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,46,0,1,41.75,0.219156,101,1000,1600,,,est
197,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,47,0,1,60.34,0.219348,101,1000,1600,,,est
198,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,48,6,0,51.53,0.219144,101,1000,1600,,,est
199,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-03,49,0,1,49.51,0.22012,101,1000,1600,,,est
200,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,0,2,0,80.9,0.219192,101,1000,1600,,,est
201,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,1,0,1,83.58,0.219508,101,1000,1600,,,est
202,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,2,0,1,78.37,0.220648,101,1000,1600,,,est
203,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,3,0,1,78.83,0.220892,101,1000,1600,,,est
204,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,4,0,1,71.75,0.218724,101,1000,1600,,,est
205,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,5,0,1,73.53999999999999,0.222884,101,1000,1600,,,est
206,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,6,0,1,82.26,0.22424,101,1000,1600,,,est
207,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,7,0,1,72.61,0.219512,101,1000,1600,,,est
208,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,8,0,1,85.78,0.21924,101,1000,1600,,,est
209,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,9,0,1,85.46000000000001,0.221136,101,1000,1600,,,est
210,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,10,4,0,57.8,0.221708,101,1000,1600,,,est
211,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,11,0,1,51.25,0.221852,101,1000,1600,,,est
212,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,12,0,1,53.15,0.219812,101,1000,1600,,,est
213,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,13,0,1,80.26,0.218228,101,1000,1600,,,est
214,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,14,0,1,49.3,0.220396,101,1000,1600,,,est
215,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,15,2,0,52.27,0.220612,101,1000,1600,,,est
216,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,16,0,1,53.07,0.22282,101,1000,1600,,,est
217,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,17,0,1,46.61,0.219736,101,1000,1600,,,est
218,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,18,0,1,52.3,0.219056,101,1000,1600,,,est
219,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,19,0,1,53.68,0.21918,101,1000,1600,,,est
220,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,20,4,0,50.81,0.218724,101,1000,1600,,,est
221,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,21,0,1,55.58,0.218344,101,1000,1600,,,est
222,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,22,0,1,46.0,0.222388,101,1000,1600,,,est
223,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,23,0,1,48.15,0.218864,101,1000,1600,,,est
224,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,24,0,1,44.74,0.219148,101,1000,1600,,,est
225,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,25,0,1,47.28,0.218444,101,1000,1600,,,est
226,ASTRAL-III,QR (LE),1.000000e-02,1.000000e-02,26,0,1,53.27,0.219156,101,1000,1600,,,est
